working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][0/9357]	eta 11:50:01 lr 0.000000000	time 4.5529 (4.5529)	tot_loss 0.1733 (0.1733)	mem 3757MB
Train: [0/300][850/9357]	eta 0:55:41 lr 0.000000036	time 0.3916 (0.3928)	tot_loss 0.3578 (0.5855)	mem 6727MB
Train: [0/300][900/9357]	eta 0:55:17 lr 0.000000038	time 0.3906 (0.3923)	tot_loss 0.6785 (0.5824)	mem 6727MB
Train: [0/300][950/9357]	eta 0:54:59 lr 0.000000040	time 0.3828 (0.3925)	tot_loss 0.3976 (0.5786)	mem 6727MB
Train: [0/300][1000/9357]	eta 0:54:39 lr 0.000000043	time 0.3788 (0.3924)	tot_loss 0.3687 (0.5742)	mem 6728MB
Train: [0/300][1050/9357]	eta 0:54:19 lr 0.000000045	time 0.3889 (0.3924)	tot_loss 0.2779 (0.5714)	mem 6728MB
Train: [0/300][1100/9357]	eta 0:53:58 lr 0.000000047	time 0.3685 (0.3922)	tot_loss 0.7281 (0.5683)	mem 6728MB
Train: [0/300][1150/9357]	eta 0:53:34 lr 0.000000049	time 0.3700 (0.3917)	tot_loss 0.5173 (0.5653)	mem 6728MB
Train: [0/300][1200/9357]	eta 0:53:06 lr 0.000000051	time 0.3629 (0.3906)	tot_loss 0.7295 (0.5621)	mem 6728MB
Train: [0/300][1250/9357]	eta 0:52:43 lr 0.000000053	time 0.3638 (0.3902)	tot_loss 0.5598 (0.5596)	mem 6728MB
Train: [0/300][1300/9357]	eta 0:52:18 lr 0.000000056	time 0.3654 (0.3895)	tot_loss 0.3998 (0.5582)	mem 6728MB
Train: [0/300][1350/9357]	eta 0:51:56 lr 0.000000058	time 0.3751 (0.3892)	tot_loss 0.2374 (0.5564)	mem 6728MB
Train: [0/300][1400/9357]	eta 0:51:31 lr 0.000000060	time 0.3754 (0.3885)	tot_loss 0.6814 (0.5557)	mem 6728MB
Train: [0/300][1450/9357]	eta 0:51:09 lr 0.000000062	time 0.3293 (0.3883)	tot_loss 0.5233 (0.5532)	mem 6728MB
Train: [0/300][1500/9357]	eta 0:50:43 lr 0.000000064	time 0.3805 (0.3874)	tot_loss 0.5030 (0.5506)	mem 6728MB
Train: [0/300][1550/9357]	eta 0:50:30 lr 0.000000066	time 0.3673 (0.3882)	tot_loss 0.5758 (0.5489)	mem 6728MB
Train: [0/300][1600/9357]	eta 0:50:13 lr 0.000000068	time 0.3893 (0.3885)	tot_loss 0.2322 (0.5466)	mem 6728MB
Train: [0/300][1650/9357]	eta 0:49:59 lr 0.000000070	time 0.3842 (0.3891)	tot_loss 0.3061 (0.5454)	mem 6728MB
Train: [0/300][1700/9357]	eta 0:49:41 lr 0.000000073	time 0.3935 (0.3894)	tot_loss 0.2419 (0.5433)	mem 6728MB
Train: [0/300][1750/9357]	eta 0:49:24 lr 0.000000075	time 0.3849 (0.3897)	tot_loss 0.4876 (0.5408)	mem 6728MB
Train: [0/300][1800/9357]	eta 0:49:02 lr 0.000000077	time 0.3932 (0.3894)	tot_loss 0.4011 (0.5392)	mem 6728MB
Train: [0/300][1850/9357]	eta 0:48:42 lr 0.000000079	time 0.3394 (0.3892)	tot_loss 0.4361 (0.5363)	mem 6728MB
Train: [0/300][1900/9357]	eta 0:48:21 lr 0.000000081	time 0.3917 (0.3890)	tot_loss 0.2760 (0.5355)	mem 6728MB
Train: [0/300][1950/9357]	eta 0:48:05 lr 0.000000083	time 0.4054 (0.3896)	tot_loss 0.5789 (0.5340)	mem 6728MB
Train: [0/300][2000/9357]	eta 0:47:46 lr 0.000000085	time 0.3770 (0.3896)	tot_loss 0.7084 (0.5319)	mem 6728MB
Train: [0/300][2050/9357]	eta 0:47:27 lr 0.000000088	time 0.3901 (0.3896)	tot_loss 0.3606 (0.5299)	mem 6728MB
Train: [0/300][2100/9357]	eta 0:47:05 lr 0.000000090	time 0.4114 (0.3894)	tot_loss 0.4753 (0.5291)	mem 6728MB
Train: [0/300][2150/9357]	eta 0:46:47 lr 0.000000092	time 0.3707 (0.3896)	tot_loss 0.3210 (0.5276)	mem 6728MB
Train: [0/300][2200/9357]	eta 0:46:26 lr 0.000000094	time 0.3737 (0.3894)	tot_loss 0.3725 (0.5262)	mem 6728MB
Train: [0/300][2250/9357]	eta 0:46:08 lr 0.000000096	time 0.3834 (0.3896)	tot_loss 0.4868 (0.5244)	mem 6728MB
Train: [0/300][2300/9357]	eta 0:45:46 lr 0.000000098	time 0.3792 (0.3892)	tot_loss 0.4530 (0.5235)	mem 6728MB
Train: [0/300][2350/9357]	eta 0:45:26 lr 0.000000100	time 0.4040 (0.3891)	tot_loss 0.4069 (0.5219)	mem 6728MB
Train: [0/300][2400/9357]	eta 0:45:06 lr 0.000000103	time 0.3280 (0.3890)	tot_loss 0.3360 (0.5203)	mem 6728MB
Train: [0/300][2450/9357]	eta 0:44:49 lr 0.000000105	time 0.4041 (0.3894)	tot_loss 0.5131 (0.5195)	mem 6728MB
Train: [0/300][2500/9357]	eta 0:44:29 lr 0.000000107	time 0.4069 (0.3893)	tot_loss 0.4528 (0.5187)	mem 6728MB
Train: [0/300][2550/9357]	eta 0:44:11 lr 0.000000109	time 0.3740 (0.3896)	tot_loss 0.4299 (0.5170)	mem 6728MB
Train: [0/300][2600/9357]	eta 0:43:52 lr 0.000000111	time 0.3834 (0.3896)	tot_loss 0.3424 (0.5158)	mem 6728MB
Train: [0/300][2650/9357]	eta 0:43:34 lr 0.000000113	time 0.3929 (0.3898)	tot_loss 0.3651 (0.5150)	mem 6728MB
Train: [0/300][2700/9357]	eta 0:43:14 lr 0.000000115	time 0.4273 (0.3898)	tot_loss 0.7311 (0.5141)	mem 6728MB
Train: [0/300][2750/9357]	eta 0:42:54 lr 0.000000117	time 0.3483 (0.3896)	tot_loss 0.4074 (0.5129)	mem 6728MB
Train: [0/300][2800/9357]	eta 0:42:32 lr 0.000000120	time 0.4861 (0.3893)	tot_loss 0.4044 (0.5115)	mem 6728MB
Train: [0/300][2850/9357]	eta 0:42:13 lr 0.000000122	time 0.3894 (0.3893)	tot_loss 0.3843 (0.5102)	mem 6728MB
Train: [0/300][2900/9357]	eta 0:41:51 lr 0.000000124	time 0.3851 (0.3889)	tot_loss 0.4255 (0.5092)	mem 6728MB
Train: [0/300][2950/9357]	eta 0:41:31 lr 0.000000126	time 0.3567 (0.3889)	tot_loss 0.3448 (0.5077)	mem 6728MB
Train: [0/300][3000/9357]	eta 0:41:09 lr 0.000000128	time 0.3811 (0.3885)	tot_loss 0.5719 (0.5073)	mem 6728MB
Train: [0/300][3050/9357]	eta 0:40:50 lr 0.000000130	time 0.3567 (0.3885)	tot_loss 0.5428 (0.5060)	mem 6728MB
Train: [0/300][3100/9357]	eta 0:40:28 lr 0.000000132	time 0.3672 (0.3881)	tot_loss 0.3966 (0.5049)	mem 6728MB
Train: [0/300][3150/9357]	eta 0:40:08 lr 0.000000135	time 0.3687 (0.3881)	tot_loss 0.7167 (0.5042)	mem 6728MB
Train: [0/300][3200/9357]	eta 0:39:47 lr 0.000000137	time 0.3732 (0.3878)	tot_loss 0.5973 (0.5032)	mem 6728MB
Train: [0/300][3250/9357]	eta 0:39:28 lr 0.000000139	time 0.3596 (0.3878)	tot_loss 0.3573 (0.5021)	mem 6728MB
Train: [0/300][3300/9357]	eta 0:39:08 lr 0.000000141	time 0.3636 (0.3877)	tot_loss 0.3039 (0.5010)	mem 6728MB
Train: [0/300][3350/9357]	eta 0:38:50 lr 0.000000143	time 0.3616 (0.3880)	tot_loss 0.6121 (0.4998)	mem 6728MB
Train: [0/300][3400/9357]	eta 0:38:31 lr 0.000000145	time 0.4277 (0.3880)	tot_loss 0.5668 (0.4993)	mem 6728MB
Train: [0/300][3450/9357]	eta 0:38:13 lr 0.000000147	time 0.4618 (0.3882)	tot_loss 0.3698 (0.4983)	mem 6728MB
Train: [0/300][3500/9357]	eta 0:37:54 lr 0.000000150	time 0.3974 (0.3883)	tot_loss 0.2525 (0.4975)	mem 6728MB
Train: [0/300][3550/9357]	eta 0:37:34 lr 0.000000152	time 0.3489 (0.3882)	tot_loss 0.6242 (0.4969)	mem 6728MB
Train: [0/300][3600/9357]	eta 0:37:14 lr 0.000000154	time 0.3939 (0.3881)	tot_loss 0.5681 (0.4963)	mem 6728MB
Train: [0/300][3650/9357]	eta 0:36:55 lr 0.000000156	time 0.3921 (0.3882)	tot_loss 0.5533 (0.4955)	mem 6728MB
Train: [0/300][3700/9357]	eta 0:36:35 lr 0.000000158	time 0.3792 (0.3881)	tot_loss 0.4230 (0.4948)	mem 6728MB
Train: [0/300][3750/9357]	eta 0:36:16 lr 0.000000160	time 0.3633 (0.3882)	tot_loss 0.6128 (0.4940)	mem 6728MB
Train: [0/300][3800/9357]	eta 0:35:57 lr 0.000000162	time 0.3808 (0.3882)	tot_loss 0.2997 (0.4930)	mem 6728MB
Train: [0/300][3850/9357]	eta 0:35:39 lr 0.000000164	time 0.3562 (0.3885)	tot_loss 0.3605 (0.4926)	mem 6728MB
Train: [0/300][3900/9357]	eta 0:35:20 lr 0.000000167	time 0.3804 (0.3885)	tot_loss 0.5356 (0.4920)	mem 6728MB
Train: [0/300][3950/9357]	eta 0:35:01 lr 0.000000169	time 0.3626 (0.3886)	tot_loss 0.3491 (0.4910)	mem 6728MB
Train: [0/300][4000/9357]	eta 0:34:41 lr 0.000000171	time 0.3808 (0.3885)	tot_loss 0.4667 (0.4899)	mem 6728MB
Train: [0/300][4050/9357]	eta 0:34:22 lr 0.000000173	time 0.3771 (0.3886)	tot_loss 0.3144 (0.4894)	mem 6728MB
Train: [0/300][4100/9357]	eta 0:34:03 lr 0.000000175	time 0.3696 (0.3887)	tot_loss 0.4502 (0.4887)	mem 6728MB
Train: [0/300][4150/9357]	eta 0:33:44 lr 0.000000177	time 0.4050 (0.3888)	tot_loss 0.2205 (0.4875)	mem 6728MB
Train: [0/300][4200/9357]	eta 0:33:24 lr 0.000000180	time 0.3742 (0.3887)	tot_loss 0.5487 (0.4868)	mem 6728MB
Train: [0/300][4250/9357]	eta 0:33:05 lr 0.000000182	time 0.3660 (0.3888)	tot_loss 0.4468 (0.4861)	mem 6728MB
Train: [0/300][4300/9357]	eta 0:32:45 lr 0.000000184	time 0.3807 (0.3888)	tot_loss 0.4038 (0.4854)	mem 6728MB
Train: [0/300][4350/9357]	eta 0:32:27 lr 0.000000186	time 0.3592 (0.3889)	tot_loss 0.2369 (0.4846)	mem 6728MB
Train: [0/300][4400/9357]	eta 0:32:07 lr 0.000000188	time 0.4018 (0.3888)	tot_loss 0.2795 (0.4837)	mem 6728MB
Train: [0/300][4450/9357]	eta 0:31:48 lr 0.000000190	time 0.3399 (0.3889)	tot_loss 0.2515 (0.4828)	mem 6728MB
Train: [0/300][4500/9357]	eta 0:31:28 lr 0.000000192	time 0.3978 (0.3888)	tot_loss 0.2775 (0.4818)	mem 6728MB
Train: [0/300][4550/9357]	eta 0:31:09 lr 0.000000194	time 0.3710 (0.3890)	tot_loss 0.4536 (0.4809)	mem 6728MB
Train: [0/300][4600/9357]	eta 0:30:50 lr 0.000000197	time 0.3743 (0.3889)	tot_loss 0.1478 (0.4799)	mem 6728MB
Train: [0/300][4650/9357]	eta 0:30:31 lr 0.000000199	time 0.3980 (0.3891)	tot_loss 0.3934 (0.4795)	mem 6728MB
Train: [0/300][4700/9357]	eta 0:30:11 lr 0.000000201	time 0.4033 (0.3890)	tot_loss 0.3406 (0.4787)	mem 6728MB
Train: [0/300][4750/9357]	eta 0:29:52 lr 0.000000203	time 0.3824 (0.3891)	tot_loss 0.2050 (0.4780)	mem 6728MB
Train: [0/300][4800/9357]	eta 0:29:33 lr 0.000000205	time 0.4228 (0.3891)	tot_loss 0.1966 (0.4769)	mem 6728MB
Train: [0/300][4850/9357]	eta 0:29:14 lr 0.000000207	time 0.3864 (0.3893)	tot_loss 0.2234 (0.4763)	mem 6728MB
Train: [0/300][4900/9357]	eta 0:28:54 lr 0.000000209	time 0.3832 (0.3892)	tot_loss 0.3544 (0.4756)	mem 6728MB
Train: [0/300][4950/9357]	eta 0:28:35 lr 0.000000211	time 0.3811 (0.3892)	tot_loss 0.4117 (0.4749)	mem 6728MB
Train: [0/300][5000/9357]	eta 0:28:15 lr 0.000000214	time 0.4485 (0.3892)	tot_loss 0.4310 (0.4743)	mem 6728MB
Train: [0/300][5050/9357]	eta 0:27:57 lr 0.000000216	time 0.4376 (0.3894)	tot_loss 0.2994 (0.4731)	mem 6728MB
Train: [0/300][5100/9357]	eta 0:27:37 lr 0.000000218	time 0.4045 (0.3894)	tot_loss 0.3730 (0.4727)	mem 6728MB
Train: [0/300][5150/9357]	eta 0:27:18 lr 0.000000220	time 0.3938 (0.3895)	tot_loss 0.3341 (0.4722)	mem 6728MB
Train: [0/300][5200/9357]	eta 0:26:59 lr 0.000000222	time 0.3720 (0.3895)	tot_loss 0.2199 (0.4716)	mem 6728MB
Train: [0/300][5250/9357]	eta 0:26:39 lr 0.000000224	time 0.3839 (0.3895)	tot_loss 0.2099 (0.4708)	mem 6728MB
Train: [0/300][5300/9357]	eta 0:26:20 lr 0.000000227	time 0.3769 (0.3895)	tot_loss 0.4783 (0.4703)	mem 6728MB
Train: [0/300][5350/9357]	eta 0:26:01 lr 0.000000229	time 0.3739 (0.3896)	tot_loss 0.6600 (0.4701)	mem 6728MB
Train: [0/300][5400/9357]	eta 0:25:41 lr 0.000000231	time 0.4195 (0.3896)	tot_loss 0.2276 (0.4691)	mem 6728MB
Train: [0/300][5450/9357]	eta 0:25:22 lr 0.000000233	time 0.3596 (0.3897)	tot_loss 0.4875 (0.4680)	mem 6728MB
Train: [0/300][5500/9357]	eta 0:25:03 lr 0.000000235	time 0.4221 (0.3899)	tot_loss 0.2504 (0.4676)	mem 6728MB
Train: [0/300][5550/9357]	eta 0:24:44 lr 0.000000237	time 0.2608 (0.3899)	tot_loss 0.3050 (0.4669)	mem 6728MB
Train: [0/300][5600/9357]	eta 0:24:24 lr 0.000000239	time 0.3724 (0.3899)	tot_loss 0.2913 (0.4660)	mem 6728MB
Train: [0/300][5650/9357]	eta 0:24:04 lr 0.000000241	time 0.3894 (0.3898)	tot_loss 0.2652 (0.4652)	mem 6728MB
Train: [0/300][5700/9357]	eta 0:23:44 lr 0.000000244	time 0.3476 (0.3896)	tot_loss 0.2926 (0.4643)	mem 6728MB
Train: [0/300][5750/9357]	eta 0:23:25 lr 0.000000246	time 0.4332 (0.3896)	tot_loss 0.5443 (0.4638)	mem 6728MB
Train: [0/300][5800/9357]	eta 0:23:05 lr 0.000000248	time 0.3701 (0.3895)	tot_loss 0.6643 (0.4634)	mem 6728MB
Train: [0/300][5850/9357]	eta 0:22:46 lr 0.000000250	time 0.3397 (0.3895)	tot_loss 0.3428 (0.4627)	mem 6728MB
Train: [0/300][5900/9357]	eta 0:22:26 lr 0.000000252	time 0.3876 (0.3894)	tot_loss 0.2291 (0.4624)	mem 6728MB
Train: [0/300][5950/9357]	eta 0:22:06 lr 0.000000254	time 0.2631 (0.3894)	tot_loss 0.2274 (0.4616)	mem 6728MB
Train: [0/300][6000/9357]	eta 0:21:47 lr 0.000000256	time 0.3967 (0.3894)	tot_loss 0.2099 (0.4608)	mem 6728MB
Train: [0/300][6050/9357]	eta 0:21:27 lr 0.000000259	time 0.2597 (0.3895)	tot_loss 0.2851 (0.4600)	mem 6728MB
Train: [0/300][6100/9357]	eta 0:21:08 lr 0.000000261	time 0.3687 (0.3896)	tot_loss 0.2841 (0.4590)	mem 6728MB
Train: [0/300][6150/9357]	eta 0:20:49 lr 0.000000263	time 0.2485 (0.3896)	tot_loss 0.6266 (0.4582)	mem 6728MB
Train: [0/300][6200/9357]	eta 0:20:30 lr 0.000000265	time 0.3679 (0.3897)	tot_loss 0.1919 (0.4578)	mem 6728MB
Train: [0/300][6250/9357]	eta 0:20:10 lr 0.000000267	time 0.2654 (0.3898)	tot_loss 0.1172 (0.4574)	mem 6728MB
Train: [0/300][6300/9357]	eta 0:19:51 lr 0.000000269	time 0.3883 (0.3898)	tot_loss 0.5181 (0.4564)	mem 6728MB
Train: [0/300][6350/9357]	eta 0:19:32 lr 0.000000271	time 0.2559 (0.3899)	tot_loss 0.2587 (0.4559)	mem 6728MB
Train: [0/300][6400/9357]	eta 0:19:13 lr 0.000000274	time 0.3947 (0.3901)	tot_loss 0.1416 (0.4554)	mem 6728MB
Train: [0/300][6450/9357]	eta 0:18:53 lr 0.000000276	time 0.3386 (0.3900)	tot_loss 0.4226 (0.4549)	mem 6728MB
Train: [0/300][6500/9357]	eta 0:18:34 lr 0.000000278	time 0.3555 (0.3900)	tot_loss 0.5087 (0.4541)	mem 6728MB
Train: [0/300][6550/9357]	eta 0:18:14 lr 0.000000280	time 0.3958 (0.3900)	tot_loss 0.6274 (0.4537)	mem 6728MB
Train: [0/300][6600/9357]	eta 0:17:55 lr 0.000000282	time 0.3700 (0.3900)	tot_loss 0.1325 (0.4528)	mem 6728MB
Train: [0/300][6650/9357]	eta 0:17:35 lr 0.000000284	time 0.2760 (0.3899)	tot_loss 0.4816 (0.4522)	mem 6728MB
Train: [0/300][6700/9357]	eta 0:17:15 lr 0.000000286	time 0.3765 (0.3898)	tot_loss 0.1869 (0.4518)	mem 6728MB
Train: [0/300][6750/9357]	eta 0:16:56 lr 0.000000288	time 0.2551 (0.3898)	tot_loss 0.1858 (0.4511)	mem 6728MB
Train: [0/300][6800/9357]	eta 0:16:36 lr 0.000000291	time 0.3586 (0.3898)	tot_loss 0.2635 (0.4504)	mem 6728MB
Train: [0/300][6850/9357]	eta 0:16:17 lr 0.000000293	time 0.2501 (0.3898)	tot_loss 0.3447 (0.4498)	mem 6728MB
Train: [0/300][6900/9357]	eta 0:15:58 lr 0.000000295	time 0.4531 (0.3900)	tot_loss 0.2290 (0.4491)	mem 6728MB
Train: [0/300][6950/9357]	eta 0:15:38 lr 0.000000297	time 0.2540 (0.3899)	tot_loss 0.6961 (0.4486)	mem 6728MB
Train: [0/300][7000/9357]	eta 0:15:19 lr 0.000000299	time 0.3992 (0.3900)	tot_loss 0.2927 (0.4480)	mem 6728MB
Train: [0/300][7050/9357]	eta 0:14:59 lr 0.000000301	time 0.4099 (0.3901)	tot_loss 0.2812 (0.4474)	mem 6728MB
Train: [0/300][7100/9357]	eta 0:14:40 lr 0.000000303	time 0.3873 (0.3903)	tot_loss 0.2120 (0.4467)	mem 6728MB
Train: [0/300][7150/9357]	eta 0:14:21 lr 0.000000306	time 0.3923 (0.3902)	tot_loss 0.4584 (0.4458)	mem 6728MB
Train: [0/300][7200/9357]	eta 0:14:01 lr 0.000000308	time 0.3987 (0.3903)	tot_loss 0.4870 (0.4451)	mem 6728MB
Train: [0/300][7250/9357]	eta 0:13:42 lr 0.000000310	time 0.3702 (0.3902)	tot_loss 0.6537 (0.4446)	mem 6728MB
Train: [0/300][7300/9357]	eta 0:13:22 lr 0.000000312	time 0.3581 (0.3903)	tot_loss 0.2491 (0.4439)	mem 6728MB
Train: [0/300][7350/9357]	eta 0:13:03 lr 0.000000314	time 0.3637 (0.3903)	tot_loss 0.1769 (0.4437)	mem 6728MB
Train: [0/300][7400/9357]	eta 0:12:43 lr 0.000000316	time 0.4224 (0.3904)	tot_loss 0.4225 (0.4433)	mem 6728MB
Train: [0/300][7450/9357]	eta 0:12:24 lr 0.000000318	time 0.3746 (0.3904)	tot_loss 0.5410 (0.4426)	mem 6728MB
Train: [0/300][7500/9357]	eta 0:12:05 lr 0.000000321	time 0.3826 (0.3907)	tot_loss 0.1224 (0.4417)	mem 6728MB
Train: [0/300][7550/9357]	eta 0:11:45 lr 0.000000323	time 0.3539 (0.3907)	tot_loss 0.5037 (0.4410)	mem 6728MB
Train: [0/300][7600/9357]	eta 0:11:26 lr 0.000000325	time 0.3679 (0.3907)	tot_loss 0.5861 (0.4405)	mem 6728MB
Train: [0/300][7650/9357]	eta 0:11:06 lr 0.000000327	time 0.3980 (0.3907)	tot_loss 0.2423 (0.4400)	mem 6728MB
Train: [0/300][7700/9357]	eta 0:10:47 lr 0.000000329	time 0.3800 (0.3908)	tot_loss 0.2211 (0.4395)	mem 6728MB
Train: [0/300][7750/9357]	eta 0:10:27 lr 0.000000331	time 0.3376 (0.3907)	tot_loss 0.7742 (0.4392)	mem 6728MB
Train: [0/300][7800/9357]	eta 0:10:08 lr 0.000000333	time 0.3786 (0.3907)	tot_loss 0.3231 (0.4385)	mem 6728MB
Train: [0/300][7850/9357]	eta 0:09:48 lr 0.000000335	time 0.3830 (0.3907)	tot_loss 0.3801 (0.4382)	mem 6728MB
Train: [0/300][7900/9357]	eta 0:09:29 lr 0.000000338	time 0.3804 (0.3909)	tot_loss 0.2032 (0.4376)	mem 6728MB
Train: [0/300][7950/9357]	eta 0:09:09 lr 0.000000340	time 0.4219 (0.3908)	tot_loss 0.1244 (0.4369)	mem 6728MB
Train: [0/300][8000/9357]	eta 0:08:50 lr 0.000000342	time 0.3858 (0.3909)	tot_loss 0.3712 (0.4365)	mem 6728MB
Train: [0/300][8050/9357]	eta 0:08:30 lr 0.000000344	time 0.3713 (0.3909)	tot_loss 0.3032 (0.4360)	mem 6728MB
Train: [0/300][8100/9357]	eta 0:08:11 lr 0.000000346	time 0.3714 (0.3909)	tot_loss 0.1338 (0.4354)	mem 6728MB
Train: [0/300][8150/9357]	eta 0:07:51 lr 0.000000348	time 0.3834 (0.3909)	tot_loss 0.2099 (0.4350)	mem 6728MB
Train: [0/300][8200/9357]	eta 0:07:32 lr 0.000000350	time 0.3745 (0.3909)	tot_loss 0.2486 (0.4345)	mem 6728MB
Train: [0/300][8250/9357]	eta 0:07:12 lr 0.000000353	time 0.4019 (0.3909)	tot_loss 0.4327 (0.4341)	mem 6728MB
Train: [0/300][8300/9357]	eta 0:06:53 lr 0.000000355	time 0.4372 (0.3910)	tot_loss 0.1351 (0.4337)	mem 6728MB
Train: [0/300][8350/9357]	eta 0:06:33 lr 0.000000357	time 0.3815 (0.3910)	tot_loss 0.2199 (0.4333)	mem 6728MB
Train: [0/300][8400/9357]	eta 0:06:14 lr 0.000000359	time 0.3874 (0.3911)	tot_loss 0.4700 (0.4328)	mem 6728MB
Train: [0/300][8450/9357]	eta 0:05:54 lr 0.000000361	time 0.4081 (0.3911)	tot_loss 0.2772 (0.4324)	mem 6728MB
Train: [0/300][8500/9357]	eta 0:05:35 lr 0.000000363	time 0.3709 (0.3911)	tot_loss 0.3670 (0.4319)	mem 6728MB
Train: [0/300][8550/9357]	eta 0:05:15 lr 0.000000365	time 0.3771 (0.3911)	tot_loss 0.3694 (0.4316)	mem 6728MB
Train: [0/300][8600/9357]	eta 0:04:56 lr 0.000000368	time 0.3872 (0.3912)	tot_loss 0.2705 (0.4311)	mem 6728MB
Train: [0/300][8650/9357]	eta 0:04:36 lr 0.000000370	time 0.3613 (0.3911)	tot_loss 0.3115 (0.4309)	mem 6728MB
Train: [0/300][8700/9357]	eta 0:04:17 lr 0.000000372	time 0.3518 (0.3912)	tot_loss 0.2893 (0.4307)	mem 6728MB
Train: [0/300][8750/9357]	eta 0:03:57 lr 0.000000374	time 0.3948 (0.3912)	tot_loss 0.2174 (0.4299)	mem 6728MB
Train: [0/300][8800/9357]	eta 0:03:37 lr 0.000000376	time 0.3837 (0.3912)	tot_loss 0.1263 (0.4293)	mem 6728MB
Train: [0/300][8850/9357]	eta 0:03:18 lr 0.000000378	time 0.4162 (0.3912)	tot_loss 0.6309 (0.4289)	mem 6728MB
Train: [0/300][8900/9357]	eta 0:02:58 lr 0.000000380	time 0.3682 (0.3913)	tot_loss 0.2764 (0.4285)	mem 6728MB
Train: [0/300][8950/9357]	eta 0:02:39 lr 0.000000382	time 0.3696 (0.3913)	tot_loss 0.5457 (0.4280)	mem 6728MB
Train: [0/300][9000/9357]	eta 0:02:19 lr 0.000000385	time 0.3959 (0.3914)	tot_loss 0.4398 (0.4277)	mem 6728MB
Train: [0/300][9050/9357]	eta 0:02:00 lr 0.000000387	time 0.3794 (0.3914)	tot_loss 0.1962 (0.4272)	mem 6728MB
Train: [0/300][9100/9357]	eta 0:01:40 lr 0.000000389	time 0.3914 (0.3915)	tot_loss 0.1188 (0.4268)	mem 6728MB
Train: [0/300][9150/9357]	eta 0:01:21 lr 0.000000391	time 0.4077 (0.3915)	tot_loss 0.3255 (0.4264)	mem 6728MB
Train: [0/300][9200/9357]	eta 0:01:01 lr 0.000000393	time 0.2356 (0.3915)	tot_loss 0.2078 (0.4261)	mem 6728MB
Train: [0/300][9250/9357]	eta 0:00:41 lr 0.000000395	time 0.5088 (0.3915)	tot_loss 0.2228 (0.4257)	mem 6728MB
Train: [0/300][9300/9357]	eta 0:00:22 lr 0.000000398	time 0.3163 (0.3915)	tot_loss 0.5013 (0.4251)	mem 6728MB
Train: [0/300][9350/9357]	eta 0:00:02 lr 0.000000400	time 0.3775 (0.3915)	tot_loss 0.7199 (0.4247)	mem 6728MB
EPOCH 0 training takes 1:01:03
1 views inference
Test: [0/1170]	Acc@1: 50.000	
Test: [50/1170]	Acc@1: 52.941	
Test: [100/1170]	Acc@1: 56.436	
Test: [150/1170]	Acc@1: 56.954	
Test: [200/1170]	Acc@1: 56.965	
